livros.dat

1 - 10 liá‰es sobre hume; Marconi Pequeno; Editora Vozes; 1a ed.; 2012; 166 pag.; R$ 10
424 - os pensadores: russell; Hugh Mattew Lacey; Editora Nova Cultura; 3a ed.; 1989; 222 pag.; R$ 15
425 - os problemas da filosofia; Bertrand Russell; Editora Ediá‰es 70; 1a ed.; 2008; 227 pag.; R$ 20
426 - os segredos do karatà; Robin L. Rielly; Editora Madras; 1a ed.; 2011; 254 pag.; R$ 50
427 - para leigos, desenho; Brenda Hoddinott; Editora Alta Books; 1a ed.; 2011; 327 pag.; R$ 50
428 - para leigos, gaita; Winslow Yerxa; Editora Alta Books; 1a ed.; 2014; 360 pag.; R$ 30
429 - para leigos, java; Barry Burd; Editora Alta Books; 5a ed.; 2013; 401 pag.; R$ 40
430 - para leigos, l¢gica; Mark Zegarelli; Editora Alta Books; 1a ed.; 2013; 363 pag.; R$ 40
431 - para leigos, nutriá∆o; Carol Ann Rinzler; Editora Alta Books; 4a ed.; 2011; 368 pag.; R$ 30
432 - para leigos, xadrez; James Eade; Editora Alta Books; 4a ed.; 2019; 379 pag.; R$ 50
433 - pedofilia identificar e previnir; L£cia Cavalcanti de Albuquerque Williams; Editora Brasiliense; 1a ed.; 2012; 112 pag.; R$ 5
434 - pensamento cr°tico de a a z: uma introduá∆o filos¢fica; Nigel Warburton; Editora JosÇ Olympo; 1a ed.; 2011; 203 pag.; R$ 27
435 - physyca: curso secundario - programma gymnasial completo; ; Editora Livraria Paulo de Azevedo e Cia; 1a ed.; 1927; 633 pag.; R$ 10
436 - plantas t¢xicas: estudo de fitotoxicologia qu°mica de plantas brasileiras; Francisco JosÇ de Abreu Matos... [et al.]; Editora Instituto Plantarum de Estudos da Flora; 1a ed.; 2011; 247 pag.; R$ 80
437 - pontos vitais e defesa pessoal; Chung Sun-Yong; Editora Centro do Livro Brasileiro; 1a ed.; 1980; 174 pag.; R$ 30
438 - preticando aritmÇtica; JosÇ Carlos Admo Lacerda; Editora Issonnarte; 4a ed.; 2010; 445 pag.; R$ 30
439 - primeiro vocà constr¢i uma nuvem; K. C. Cole; Editora Record; 1a ed.; 2007; 306 pag.; R$ 10
440 - primeiros socorros; Drauzio Varela e Carlos Jardim; Editora Claro Enigma; 1a ed.; 2011; 64 pag.; R$ 20
441 - princ°pios b†sicos de eletricidade; Maurice Grayle Suffern; Editora DEM; 1a ed.; 1970; 419 pag.; R$ 25
442 - probabilidade aplicaá‰es Ö estat°stica; Paul L. Meyer; Editora LTC; 2a ed.; 1983; 426 pag.; R$ 80
443 - prÇ-c†lculo; Paulo Boulos; Editora Pearson Makron Books; 1a ed.; 2004; 101 pag.; R$ 20
444 - pràmios nobel na scientific american: f°sica e astronomia vol. 1; Ana Cl†udia Ferrari e Liliana Pinheiro; Editora Duetto Editorial; 1a ed.; 2010; 159 pag.; R$ 5
445 - pràmios nobel na scientific american: f°sica e astronomia vol. 2; Ana Cl†udia Ferrari e Liliana Pinheiro; Editora Duetto Editorial; 1a ed.; 2010; 158 pag.; R$ 5
446 - qigong chinàs ilustrado; Yu Gongbao; Editora Roca; 1a ed.; 1998; 149 pag.; R$ 10
447 - quem Ç vocà de verdade; Nicolle Ferreira; Editora Polo Books; 1a ed.; 2016; 284 pag.; R$ 10
448 - quero saber: desvendando a b°blia e seus mistÇrios; ; Editora Escala; 1a ed.; 2009; 128 pag.; R$ 5
449 - quero saber: mistÇrios e revelaá‰es da idade mÇdia; ; Editora Escala; 1a ed.; 2009; 127 pag.; R$ 5
450 - qu°mica geral; Per Christian Braathen; Editora CRQ-MG; 2a ed.; 2010; 629 pag.; R$ 50
451 - qu°mica um curso universit†rio; Bruce H. Mahan; Editora Edgard Blucher; 2a ed.; 1978; 656 pag.; R$ 50
452 - receitas de coquetÇis, aperitivos e bebidas; L°gia Junqueira; Editora Ediouro; 1a ed.; ; 72 pag.; R$ 10
453 - relatividade; Russel Stannard; Editora L&PM; 1a ed.; 2013; 126 pag.; R$ 10
454 - resistància dos materiais; ClÇsio Gabriel Di Blasi; Editora Livraria Freitas Bastos; 2a ed.; 1990; 738 pag.; R$ 20
455 - resum∆o administraá∆o e neg¢cios-1: administraá∆o; Robert Murdick; Editora BF&A; 4a ed.; 2009; 4 pag.; R$ 15
456 - resum∆o administraá∆o e neg¢cios-6: contabilidade; Alvaro Ricardino; Editora BF&A; 1a ed.; 2011; 6 pag.; R$ 15
457 - resum∆o exatas-13: estat°stica; Nabor Monteiro; Editora BF&A; 2a ed.; 2006; 6 pag.; R$ 15
458 - resum∆o exatas-23: l¢gica; Albert E. Lyngzeidetson; Editora BF&A; 1a ed.; 2010; 6 pag.; R$ 15
459 - resum∆o exatas-9: classificaá∆o peri¢dica dos elementos; Mark Jackson; Editora BF&A; 1a ed.; 2018; 4 pag.; R$ 15
460 - resum∆o jur°dico-1: direito administrativo; Antonio Cec°lio Moreira Pires; Editora BF&A; 2a ed.; 2012; 6 pag.; R$ 15
461 - resum∆o jur°dico-4: direito constitucional; Jo∆o Antonio Wiegerinck; Editora BF&A; 13a ed.; 2010; 6 pag.; R$ 15
462 - resum∆o jur°dico-8: direito tribut†rio; Marcos Antonio Oliveira Fernandes; Editora BF&A; 1a ed.; 2011; 6 pag.; R$ 15
463 - resum∆o medicina-20: acupuntura; Jo∆o Arthur Ferreira; Editora BF&A; 3a ed.; 2007; 6 pag.; R$ 15
464 - resum∆o para concursos: como estudar para provas e concursos; Marcos Antonio Oliveira Fernandes; Editora BF&A; 1a ed.; 2017; 6 pag.; R$ 15
465 - resum∆o para concursos: compreens∆o de textos e redaá∆o; Priscila Ferrarotto; Editora BF&A; 1a ed.; 2017; 6 pag.; R$ 15
466 - resum∆o para concursos: direito administrativo; Adilson Pera; Editora BF&A; 1a ed.; 2014; 6 pag.; R$ 15
467 - resum∆o para concursos: direito tribut†rio; Omar Chamon; Editora BF&A; 1a ed.; 2014; 6 pag.; R$ 15
468 - ruas do rio de janeiro 2010; JosÇ Eduardo Camargo; Editora Abril; 1a ed.; 2009; 418 pag.; R$ 0
469 - segredos da sinuca: fundamentos cient°ficos; Jorge Dias Teixeira; Editora J. D. Giorgio; 1a ed.; ; 63 pag.; R$ 10
470 - segredos dos samurais: as artes marciais do jap∆o feudal; Oscar Ratti e Adele Westbrook; Editora Madras; 1a ed.; 2006; 510 pag.; R$ 90
471 - sinuca: como jogar e vencer; Luiz Andrade Ribeiro; Editora Ediouro; 1a ed.; 1989; 96 pag.; R$ 15
472 - skate: guia passo a passo ilustrado; Clive Gifford; Editora Zastras; 1a ed.; 2008; 63 pag.; R$ 10
473 - sobrevivància no mar; Celso A. J. de Rezende; Editora Catatau; 1a ed.; 1991; 179 pag.; R$ 20
474 - tabela de composiá∆o de alimentos; Sonia Tucunduva Philippi; Editora Manole; 5a ed.; 2016; 138 pag.; R$ 50
475 - tai-chi chuan: arte marcial, tÇcnica da longa vida; Catherine Despeux; Editora C°rculo do Livro; 1a ed.; 1989; 280 pag.; R$ 15
476 - tao of jeet kune do; Bruce Lee; Editora Ohara; 1a ed.; 1975; 208 pag.; R$ 100
477 - taquigafria sem mestre; Fernando Trindade; Editora Ediouro; 1a ed.; ; 108 pag.; R$ 10
478 - taquigafria sem mestre; Fernando Trindade; Editora Ediouro; 1a ed.; ; 108 pag.; R$ 8
479 - tarì: as cartas do destino; Maria Silva da Conceiá∆o Passos; Editora Nova Cultura; 1a ed.; 1985; 128 pag.; R$ 30
480 - tebelas numÇricas; Lauro SodrÇ Viveiros de Castro; Editora Cient°fica; 1a ed.; 1974; 128 pag.; R$ 10
481 - tempo, matÇria e permanància: o egito na coleá∆o eva klabin rapaport; Antonio Brancaglion Jr.; Editora Casa da Palavra; 1a ed.; 2001; 222 pag.; R$ 5
482 - teoria da m£sica; Bohumil Med; Editora MusiMed; 4a ed.; 1996; 420 pag.; R$ 50
483 - teoria da recurs∆o; Matias Francisco Dias e Leonardo Weber; Editora Unesp; 1a ed.; 2010; 277 pag.; R$ 30
484 - teoria das categorias; Paulo B. Menezes e Edward H. Haeusler; Editora Sagra Luzzatto; 1a ed.; 2001; 324 pag.; R$ 30
485 - teoria econìmica; A. W. Stonier e D. C. Hague; Editora Zahar; 4a ed.; 1965; 648 pag.; R$ 15
486 - teoria quÉntica; John Polkinghorne; Editora LPM; 1a ed.; 2019; 133 pag.; R$ 20
487 - termodinÉmica tabelas; ; Editora ; a ed.; ;  pag.; R$ 2
488 - tratado da reforma do entendimento; Spinoza; Editora Escala; 1a ed.; 2007; 95 pag.; R$ 5
489 - tratado de ateologia; Michel Onfray; Editora WMF Martins Fontes; 1a ed.; 2007; 214 pag.; R$ 20
490 - tratado de fisiologia mÇdica; Arthur C. Guyton e John E. Hall; Editora Guanabara Koogan; 9a ed.; 1997; 1014 pag.; R$ 35
491 - tratado de yìga; DeRose; Editora DeRose; 45a ed.; 2009; 976 pag.; R$ 100
492 - tratado elementar de magia pr†tica; Papus; Editora O Pensamento; 1a ed.; 1924; 640 pag.; R$ 2000
493 - tratamento estat°stico de dados; Otaviano A. M. Helene e Vito R. Vanin; Editora Edgard Blucher; 2a ed.; 1981; 105 pag.; R$ 20
494 - treine sem peso; Joe Kita; Editora Abril; 1a ed.; 2009; 96 pag.; R$ 10
495 - trigonometria n£meros complexos; Manfredo Perdig∆o do Carmo... [et al.]; Editora SBM; 3a ed.; 2005; 122 pag.; R$ 20
496 - troque gordura por m£sculo; Joe Kita; Editora Abril; 1a ed.; 2009; 96 pag.; R$ 15
497 - truques e m†gicas incr°veis; Norm Barnhart; Editora Escala; 1a ed.; 2012; 109 pag.; R$ 10
498 - tÇcnicas especiais de kung fu para briga de rua; Francisco d'Urbano e Milton Brizola; Editora Ediouro; 1a ed.; 1989; 104 pag.; R$ 20
499 - t¢picos de fisica vol. 1; Gualter, Newton e Helou; Editora Saraiva; 21a ed.; 2012; 496 pag.; R$ 50
500 - t¢picos de fisica vol. 2; Gualter, Newton e Helou; Editora Saraiva; 19a ed.; 2012; 480 pag.; R$ 50
501 - t¢picos de fisica vol. 3; Gualter, Newton e Helou; Editora Saraiva; 18a ed.; 2012; 400 pag.; R$ 50
502 - t¢picos de f°sica vol. 1: resoluá∆o dos exerc°cios; Gualter, Newton e Helou; Editora Saraiva; a ed.; ; 176 pag.; R$ 25
503 - t¢picos de f°sica vol. 2: resoluá∆o dos exerc°cios; Gualter, Newton e Helou; Editora Saraiva; a ed.; ; 176 pag.; R$ 25
504 - t¢picos de f°sica vol. 3: resoluá∆o dos exerc°cios; Gualter, Newton e Helou; Editora Saraiva; a ed.; ; 128 pag.; R$ 25
505 - um drink no inferno; Quentin Tarantino; Editora Rocco; 1a ed.; 1996; 142 pag.; R$ 5
506 - uma dupla que faz acontecer: guia completo de empreendedorismo em quadrinhos; JosÇ Dornelas, Fernando Chamis e Winston Petty; Editora Elsevier; 1a ed.; 2010;  pag.; R$ 2
507 - use a cabeáa! desenvolvimento par android; Dawn Griffiths e David Griffiths; Editora Alta Books; 2a ed.; 2019; 888 pag.; R$ 200
508 - use a cabeáa! java; Kathy Sierra e Bert Bates; Editora Alta Books; 2a ed.; 2010; 484 pag.; R$ 50
509 - utilitarismo; Tim Mulgan; Editora Vozes; 1a ed.; 2012; 272 pag.; R$ 30
510 - utilitarismo; Stuart Mill; Editora Escala; 1a ed.; 2007; 90 pag.; R$ 5
511 - vade mecum compacto de direito ridel; ; Editora Ridel; 1a ed.; 2010; 2247 pag.; R$ 5
512 - variedades diferenciais; Elon Lages Lima; Editora IMPA; 1a ed.; 2012; 289 pag.; R$ 20
513 - venáa o famoso cubo: a soluá∆o do quebra-cabeáa mais diab¢lico do sÇculo xx; Don Taylor; Editora Ediouro; 1a ed.; 1981; 31 pag.; R$ 30
514 - xadrez b†sico; Dr. Orfeu Gilberto D'Agostini; Editora Ediouro; 5a ed.; 2002; 614 pag.; R$ 50
515 - xadrez: partidas selecionadas de v. v. smylov 1935-1958; V. V. Smylov; Editora Ibrasa; 3a ed.; 1970; 221 pag.; R$ 10
516 - zadig ou o destino; Voltaire; Editora Escala; 2a ed.; 2008; 120 pag.; R$ 5

Valor total em livros = R$ 23664

